TIGR4.old,D39.old,TIGR4.new,TAIWAN.19F.new,TAIWAN.19F.old,D39.new,Location.Tag,Tag1,Tag2,Tag3,Category1,Category2,Category3,No..of.Categories,Gene.Name,Gene.Description,Pathway,Pathway.Name
SP_0044,SPD_0051,SP_RS00265,SPT_RS00420,SPT_0082,SPD_RS00275,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,spn01100,Metabolic pathways 
SP_0044,SPD_0051,SP_RS00265,SPT_RS00420,SPT_0082,SPD_RS00275,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,spn01110,Biosynthesis of secondary metabolites 
SP_0044,SPD_0051,SP_RS00265,SPT_RS00420,SPT_0082,SPD_RS00275,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,spn01130,Biosynthesis of antibiotics 
SP_0045,SPD_0052,SP_RS00270,SPT_RS00430,SPT_0084,SPD_RS00280,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,,phosphoribosylformylglycinamidine synthase,spn00230,Purine metabolism 
SP_0045,SPD_0052,SP_RS00270,SPT_RS00430,SPT_0084,SPD_RS00280,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,,phosphoribosylformylglycinamidine synthase,spn01100,Metabolic pathways 
SP_0045,SPD_0052,SP_RS00270,SPT_RS00430,SPT_0084,SPD_RS00280,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,,phosphoribosylformylglycinamidine synthase,spn01110,Biosynthesis of secondary metabolites 
SP_0045,SPD_0052,SP_RS00270,SPT_RS00430,SPT_0084,SPD_RS00280,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,,phosphoribosylformylglycinamidine synthase,spn01130,Biosynthesis of antibiotics 
SP_0046,SPD_0053,SP_RS00275,SPT_RS00435,SPT_0085,SPD_RS00285,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purF,amidophosphoribosyltransferase,spn00230,Purine metabolism 
SP_0046,SPD_0053,SP_RS00275,SPT_RS00435,SPT_0085,SPD_RS00285,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purF,amidophosphoribosyltransferase,spn00250,"Alanine, aspartate and glutamate metabolism "
SP_0046,SPD_0053,SP_RS00275,SPT_RS00435,SPT_0085,SPD_RS00285,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purF,amidophosphoribosyltransferase,spn01100,Metabolic pathways 
SP_0046,SPD_0053,SP_RS00275,SPT_RS00435,SPT_0085,SPD_RS00285,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purF,amidophosphoribosyltransferase,spn01110,Biosynthesis of secondary metabolites 
SP_0046,SPD_0053,SP_RS00275,SPT_RS00435,SPT_0085,SPD_RS00285,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purF,amidophosphoribosyltransferase,spn01130,Biosynthesis of antibiotics 
SP_0047,SPD_0054,SP_RS00280,SPT_RS00440,SPT_0086,SPD_RS00290,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purM,phosphoribosylaminoimidazole synthetase,spn00230,Purine metabolism 
SP_0047,SPD_0054,SP_RS00280,SPT_RS00440,SPT_0086,SPD_RS00290,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purM,phosphoribosylaminoimidazole synthetase,spn01100,Metabolic pathways 
SP_0047,SPD_0054,SP_RS00280,SPT_RS00440,SPT_0086,SPD_RS00290,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purM,phosphoribosylaminoimidazole synthetase,spn01110,Biosynthesis of secondary metabolites 
SP_0047,SPD_0054,SP_RS00280,SPT_RS00440,SPT_0086,SPD_RS00290,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purM,phosphoribosylaminoimidazole synthetase,spn01130,Biosynthesis of antibiotics 
SP_0048,SPD_0055,SP_RS00285,SPT_RS00445,SPT_0087,SPD_RS00295,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purN,phosphoribosylglycinamide formyltransferase,spn00230,Purine metabolism 
SP_0048,SPD_0055,SP_RS00285,SPT_RS00445,SPT_0087,SPD_RS00295,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purN,phosphoribosylglycinamide formyltransferase,spn00670,One carbon pool by folate 
SP_0048,SPD_0055,SP_RS00285,SPT_RS00445,SPT_0087,SPD_RS00295,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purN,phosphoribosylglycinamide formyltransferase,spn01100,Metabolic pathways 
SP_0048,SPD_0055,SP_RS00285,SPT_RS00445,SPT_0087,SPD_RS00295,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purN,phosphoribosylglycinamide formyltransferase,spn01110,Biosynthesis of secondary metabolites 
SP_0048,SPD_0055,SP_RS00285,SPT_RS00445,SPT_0087,SPD_RS00295,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purN,phosphoribosylglycinamide formyltransferase,spn01130,Biosynthesis of antibiotics 
SP_0049,SPD_0056,SP_RS00290,SPT_RS00450,SPT_0088,SPD_RS00300,Cell Wall,CELLULAR PROCESSES,,,Antibiotic response/sensing,,,1,vanZ,vanZ protein,,
SP_0050,SPD_0057,SP_RS00295,SPT_RS00455,SPT_0089,SPD_RS00305,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,spn00230,Purine metabolism 
SP_0050,SPD_0057,SP_RS00295,SPT_RS00455,SPT_0089,SPD_RS00305,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,spn00670,One carbon pool by folate 
SP_0050,SPD_0057,SP_RS00295,SPT_RS00455,SPT_0089,SPD_RS00305,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,spn01100,Metabolic pathways 
SP_0050,SPD_0057,SP_RS00295,SPT_RS00455,SPT_0089,SPD_RS00305,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,spn01110,Biosynthesis of secondary metabolites 
SP_0050,SPD_0057,SP_RS00295,SPT_RS00455,SPT_0089,SPD_RS00305,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,spn01130,Biosynthesis of antibiotics 
SP_0051,SPD_0058,SP_RS00300,SPT_RS00460,SPT_0090,SPD_RS00310,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purD,phosphoribosylamine--glycine ligase,spn00230,Purine metabolism 
SP_0051,SPD_0058,SP_RS00300,SPT_RS00460,SPT_0090,SPD_RS00310,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purD,phosphoribosylamine--glycine ligase,spn01100,Metabolic pathways 
SP_0051,SPD_0058,SP_RS00300,SPT_RS00460,SPT_0090,SPD_RS00310,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purD,phosphoribosylamine--glycine ligase,spn01110,Biosynthesis of secondary metabolites 
SP_0051,SPD_0058,SP_RS00300,SPT_RS00460,SPT_0090,SPD_RS00310,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purD,phosphoribosylamine--glycine ligase,spn01130,Biosynthesis of antibiotics 
SP_0053,SPD_0059,SP_RS00305,SPT_RS00465,SPT_0091,SPD_RS00315,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purE,phosphoribosylaminoimidazole carboxylase catalytic subunit,spn00230,Purine metabolism 
SP_0053,SPD_0059,SP_RS00305,SPT_RS00465,SPT_0091,SPD_RS00315,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purE,phosphoribosylaminoimidazole carboxylase catalytic subunit,spn01100,Metabolic pathways 
SP_0053,SPD_0059,SP_RS00305,SPT_RS00465,SPT_0091,SPD_RS00315,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purE,phosphoribosylaminoimidazole carboxylase catalytic subunit,spn01110,Biosynthesis of secondary metabolites 
SP_0053,SPD_0059,SP_RS00305,SPT_RS00465,SPT_0091,SPD_RS00315,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purE,phosphoribosylaminoimidazole carboxylase catalytic subunit,spn01130,Biosynthesis of antibiotics 
SP_0054,SPD_0060,SP_RS00310,SPT_RS00470,SPT_0092,SPD_RS00320,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purK,phosphoribosylaminoimidazole carboxylase ATPase subunit,spn00230,Purine metabolism 
SP_0054,SPD_0060,SP_RS00310,SPT_RS00470,SPT_0092,SPD_RS00320,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purK,phosphoribosylaminoimidazole carboxylase ATPase subunit,spn01100,Metabolic pathways 
SP_0054,SPD_0060,SP_RS00310,SPT_RS00470,SPT_0092,SPD_RS00320,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purK,phosphoribosylaminoimidazole carboxylase ATPase subunit,spn01110,Biosynthesis of secondary metabolites 
SP_0054,SPD_0060,SP_RS00310,SPT_RS00470,SPT_0092,SPD_RS00320,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purK,phosphoribosylaminoimidazole carboxylase ATPase subunit,spn01130,Biosynthesis of antibiotics 
SP_0055,SPD_0061,SP_RS00315,SPT_RS00475,SPT_0093,SPD_RS00325,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0056,SPD_0062,SP_RS00320,SPT_RS00480,SPT_0094,SPD_RS00330,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purB,adenylosuccinate lyase,spn00230,Purine metabolism 
SP_0056,SPD_0062,SP_RS00320,SPT_RS00480,SPT_0094,SPD_RS00330,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purB,adenylosuccinate lyase,spn00250,"Alanine, aspartate and glutamate metabolism "
SP_0056,SPD_0062,SP_RS00320,SPT_RS00480,SPT_0094,SPD_RS00330,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purB,adenylosuccinate lyase,spn01100,Metabolic pathways 
SP_0056,SPD_0062,SP_RS00320,SPT_RS00480,SPT_0094,SPD_RS00330,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purB,adenylosuccinate lyase,spn01110,Biosynthesis of secondary metabolites 
SP_0056,SPD_0062,SP_RS00320,SPT_RS00480,SPT_0094,SPD_RS00330,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,purB,adenylosuccinate lyase,spn01130,Biosynthesis of antibiotics 
SP_0057,SPD_0063,SP_RS00325,SPT_RS00485,SPT_0095,SPD_RS00335,Cell Wall,METABOLISM,,,Cell wall metabolism,,,1,,beta-N-acetylhexosaminidase,spn00511,Other glycan degradation 
SP_0057,SPD_0063,SP_RS00325,SPT_RS00485,SPT_0095,SPD_RS00335,Cell Wall,METABOLISM,,,Cell wall metabolism,,,1,,beta-N-acetylhexosaminidase,spn00520,Amino sugar and nucleotide sugar metabolism 
SP_0057,SPD_0063,SP_RS00325,SPT_RS00485,SPT_0095,SPD_RS00335,Cell Wall,METABOLISM,,,Cell wall metabolism,,,1,,beta-N-acetylhexosaminidase,spn01100,Metabolic pathways 
SP_0066,SPD_0071,SP_RS00365,SPT_RS00525,SPT_0103,SPD_RS00375,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,galM,aldose 1-epimerase,spn00010,Glycolysis / Gluconeogenesis 
SP_0066,SPD_0071,SP_RS00365,SPT_RS00525,SPT_0103,SPD_RS00375,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,galM,aldose 1-epimerase,spn00052,Galactose metabolism 
SP_0066,SPD_0071,SP_RS00365,SPT_RS00525,SPT_0103,SPD_RS00375,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,galM,aldose 1-epimerase,spn01100,Metabolic pathways 
SP_0066,SPD_0071,SP_RS00365,SPT_RS00525,SPT_0103,SPD_RS00375,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,galM,aldose 1-epimerase,spn01110,Biosynthesis of secondary metabolites 
SP_0066,SPD_0071,SP_RS00365,SPT_RS00525,SPT_0103,SPD_RS00375,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,galM,aldose 1-epimerase,spn01120,Microbial metabolism in diverse environments 
SP_0066,SPD_0071,SP_RS00365,SPT_RS00525,SPT_0103,SPD_RS00375,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,galM,aldose 1-epimerase,spn01130,Biosynthesis of antibiotics 
SP_0075,SPD_0074,SP_RS00395,SPT_RS00550,SPT_0109,SPD_RS00395,Intracellular,METABOLISM,,,Nucleotide metabolism,,,1,,phosphorylase Pnp/Udp family protein,,
SP_0096,SPD_0092,SP_RS00485,SPT_RS00640,SPT_0126,SPD_RS00485,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0102,SPD_0098,SP_RS00515,SPT_RS00685,SPT_0136,SPD_RS00515,Cell Wall,METABOLISM,,,Cell wall metabolism,,,1,ExoA, glycosyl transferase,,
SP_0109,SPD_0106,SP_RS00555,SPT_RS00725,SPT_0143,SPD_RS00555,Extracellular,CELLULAR PROCESSES,,,Cellular community,,,1,,bacteriocin,,
SP_0112,SPD_0109,SP_RS00570,SPT_RS00740,SPT_0146,SPD_RS00570,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,,amino acid ABC transporter substrate-binding protein,,
SP_0115,SPD_0116,SP_RS00585,SPT_RS00755,SPT_0149,SPD_RS00610,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0116,SPD_0125,SP_RS00590,SPT_RS00830,SPT_0162,SPD_RS00675,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0122,SPD_0131,SP_RS00625,SPT_RS00865,SPT_0170,SPD_RS00710,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0136,SPD_0139,SP_RS00695,SPT_RS00930,SPT_0181,SPD_RS00775,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,,,,
SP_0142,SPD_0145,SP_RS00730,n.p,n.p.,SPD_RS00805,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0145,SPD_0148,SP_RS00745,SPT_RS00975,SPT_0191,SPD_RS00820,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,,,,
SP_0146,SPD_0149,SP_RS00755,SPT_RS00985,SPT_0193,SPD_RS00825,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,,,,
SP_0148,SPD_0150,SP_RS00765,SPT_RS00995,SPT_0195,SPD_RS00830,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,,"ABC transporter, substrate-binding protein",,
SP_0159,SPD_0161,SP_RS00820,SPT_RS01055,SPT_0207,SPD_RS00885,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,,,,
SP_0161,SPD_0163,SP_RS00830,SPT_RS01065,SPT_0209,SPD_RS00895,Intracellular,GENETIC INFORMATION PROCESSING,,,Transcription,,,1,,,,
SP_1946,SPD_1745,SP_RS09780,SPT_RS09460,SPT_1904,SPD_RS09230,Intracellular,GENETIC INFORMATION PROCESSING,,,Transcription,,,1,plcR,transcriptional regulator PlcR,,
SP_0163,SPD_1745,SP_RS00835,n.p,n.p.,SPD_RS09230,Intracellular,GENETIC INFORMATION PROCESSING,,,Transcription,,,1,,transcriptional regulator PlcR,,
SP_0191,SPD_0179,SP_RS00935,SPT_RS01215,SPT_0241,SPD_RS00970,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0238,SPD_0220,SP_RS01150,SPT_RS01430,SPT_0284,SPD_RS01185,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0243,SPD_0226,SP_RS01185,n.p,n.p.,SPD_RS01215,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Cofactor and vitamin metabolism,,2,,iron ABC transporter substrate-binding protein,spn02010,ABC transporters 
SP_0245,SPD_0229,SP_RS01190,SPT_RS01475,SPT_0293,SPD_RS01230,Intracellular,METABOLISM,METABOLISM,,Carbohydrate metabolism,Energy metabolism,,2,,Pyruvate formate-lyase activating enzyme (EC 1.97.1.4),,
SP_0248,SPD_0232,SP_RS01205,SPT_RS01490,SPT_0296,SPD_RS01245,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,CelC,PTS system transporter subunit IIA,spn00500,Starch and sucrose metabolism 
SP_0248,SPD_0232,SP_RS01205,SPT_RS01490,SPT_0296,SPD_RS01245,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,CelC,PTS system transporter subunit IIA,spn02060,Phosphotransferase system (PTS) 
SP_0261,SPD_0243,SP_RS01280,SPT_RS01555,SPT_0308,SPD_RS01305,Intracellular,METABOLISM,,,Various metabolism,,,1,uppS,Undecaprenyl diphosphate synthase (EC 2.5.1.31),spn00900,Terpenoid backbone biosynthesis 
SP_0261,SPD_0243,SP_RS01280,SPT_RS01555,SPT_0308,SPD_RS01305,Intracellular,METABOLISM,,,Various metabolism,,,1,uppS,Undecaprenyl diphosphate synthase (EC 2.5.1.31),spn01110,Biosynthesis of secondary metabolites 
SP_0268,SPD_0250,SP_RS01315,SPT_RS01590,SPT_0315,SPD_RS01340,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,,alkaline amylopullulanase,spn00500,Starch and sucrose metabolism 
SP_0268,SPD_0250,SP_RS01315,SPT_RS01590,SPT_0315,SPD_RS01340,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,,alkaline amylopullulanase,spn01100,Metabolic pathways 
SP_0276,SPD_0256,SP_RS01345,SPT_RS01620,SPT_0321,SPD_RS01370,Intracellular,GENETIC INFORMATION PROCESSING,,,Translation,,,1,,,,
SP_0281,SPD_0261,SP_RS01380,SPT_RS01655,SPT_0326,SPD_RS01400,Intracellular,GENETIC INFORMATION PROCESSING,,,"Folding, sorting, degradation",,,1,,aminopeptidase,,
SP_0287,SPD_0267,SP_RS01410,SPT_RS01685,SPT_0333,SPD_RS01430,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,,xanthine/uracil permease,,
SP_0288,SPD_0268,SP_RS01415,SPT_RS01690,SPT_0334,SPD_RS01435,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0289,SPD_0269,SP_RS01420,SPT_RS01695,SPT_0335,SPD_RS01440,Intracellular,METABOLISM,,,Cofactor and vitamin metabolism,,,1,,Dihydropteroate synthase (EC 2.5.1.15),spn00790,Folate biosynthesis 
SP_0289,SPD_0269,SP_RS01420,SPT_RS01695,SPT_0335,SPD_RS01440,Intracellular,METABOLISM,,,Cofactor and vitamin metabolism,,,1,,Dihydropteroate synthase (EC 2.5.1.15),spn01100,Metabolic pathways 
SP_0293,SPD_0273,SP_RS01440,SPT_RS01715,SPT_0339,SPD_RS01460,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0294,SPD_0274,SP_RS01445,SPT_RS01720,SPT_0340,SPD_RS01465,Intracellular,GENETIC INFORMATION PROCESSING,,,Translation,,,1,rplM,50S ribosomal protein L13,spn03010,Ribosome 
SP_0324,SPD_0296,SP_RS01575,SPT_RS01890,SPT_0373,SPD_RS01580,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,,PTS system transporter subunit IIC,spn00052,Galactose metabolism 
SP_0324,SPD_0296,SP_RS01575,SPT_RS01890,SPT_0373,SPD_RS01580,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,,PTS system transporter subunit IIC,spn02060,Phosphotransferase system (PTS) 
SP_0326,SPD_0298,SP_RS01585,SPT_RS01900,SPT_0375,SPD_RS01590,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,YajC,preprotein translocase subunit YajC,spn02024,Quorum sensing 
SP_0326,SPD_0298,SP_RS01585,SPT_RS01900,SPT_0375,SPD_RS01590,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,YajC,preprotein translocase subunit YajC,spn03060,Protein export 
SP_0326,SPD_0298,SP_RS01585,SPT_RS01900,SPT_0375,SPD_RS01590,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,YajC,preprotein translocase subunit YajC,spn03070,Bacterial secretion system 
SP_0338,SPD_0308,SP_RS01650,SPT_RS01955,SPT_0388,SPD_RS01645,Intracellular,GENETIC INFORMATION PROCESSING,,,"Folding, sorting, degradation",,,1,,ATP-dependent Clp protease ATP-binding subunit,,
SP_0342,SPD_0311,SP_RS01665,SPT_RS01970,SPT_0391,SPD_RS01660,Intracellular,METABOLISM,,,Carbohydrate metabolism,,,1,," Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",,
SP_0394,SPD_0360,SP_RS01955,n.p,n.p.,SPD_RS01930,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,,PTS system mannitol-specific transporter subunit IIBC,spn00051,Fructose and mannose metabolism 
SP_0394,SPD_0360,SP_RS01955,n.p,n.p.,SPD_RS01930,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,,PTS system mannitol-specific transporter subunit IIBC,spn02060,Phosphotransferase system (PTS) 
SP_0401,SPD_0366,SP_RS01990,SPT_RS02215,SPT_0439,SPD_RS01965,Intracellular,GENETIC INFORMATION PROCESSING,,,DNA repair and editing,,,1,,RecD-like helicase,spn03440,Homologous recombination 
SP_0403,SPD_0368,SP_RS02000,SPT_RS02225,SPT_0441,SPD_RS01975,Intracellular,GENETIC INFORMATION PROCESSING,,,"Folding, sorting, degradation",,,1,,ribonuclease HIII,spn03030,DNA replication 
SP_0404,SPD_0369,SP_RS02005,n.p,SPT_0442,SPD_RS01980,Intracellular,CELLULAR PROCESSES,,,Cell division,,,1,zapA,Cell division protein ZapA,,
SP_0429,SPD_0391,SP_RS02115,SPT_RS02340,SPT_0465,SPD_RS02090,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0435,SPD_0395,SP_RS02145,SPT_RS02355,SPT_0470,SPD_RS02105,Intracellular,GENETIC INFORMATION PROCESSING,,,Translation,,,1,efp, elongation factor P,,
SP_0442,SPD_0402,SP_RS02180,SPT_RS02400,SPT_0479,SPD_RS02140,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0473,SPD_0423,SP_RS02335,SPT_RS02560,SPT_0514,SPD_RS02255,Intracellular,GENETIC INFORMATION PROCESSING,,,Transcription,,,1,,ROK family protein,,
SP_0474,SPD_0424,SP_RS02340,SPT_RS02565,SPT_0515,SPD_RS02260,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,,PTS system cellobiose-specific transporter subunit IIC,spn00500,Starch and sucrose metabolism 
SP_0474,SPD_0424,SP_RS02340,SPT_RS02565,SPT_0515,SPD_RS02260,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,,Membrane transport,Carbohydrate metabolism,,2,,PTS system cellobiose-specific transporter subunit IIC,spn02060,Phosphotransferase system (PTS) 
SP_0475,SPD_0425,SP_RS02345,SPT_RS02570,SPT_0516,SPD_RS02265,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
SP_0484,SPD_0435,SP_RS02395,SPT_RS02620,SPT_0526,SPD_RS02315,Membrane,ENVIRONMENTAL INFORMATION PROCESSING,,,Membrane transport,,,1,,,spn02010,ABC transporters 
SP_0486,SPD_0436,SP_RS02400,SPT_RS02625,SPT_0527,SPD_RS02320,Intracellular,GENETIC INFORMATION PROCESSING,,,Translation,,,1,,RNA methyltransferase,,
SP_0490,SPD_0439,SP_RS02415,SPT_RS02640,SPT_0530,SPD_RS02335,,HYPOTHETICAL/UNKNOWN,,,,,,1,,,,
